ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
174,01166,TB PNEUMONIA-OTH TEST,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
175,01170,TB PNEUMOTHORAX-UNSPEC,"Tuberculous pneumothorax, unspecified"
176,01171,TB PNEUMOTHORAX-NO EXAM,"Tuberculous pneumothorax, bacteriological or histological examination not done"
177,01172,TB PNEUMOTHORX-EXAM UNKN,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
178,01173,TB PNEUMOTHORAX-MICRO DX,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
179,01174,TB PNEUMOTHORAX-CULT DX,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
180,01175,TB PNEUMOTHORAX-HISTO DX,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
181,01176,TB PNEUMOTHORAX-OTH TEST,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
182,01180,PULMONARY TB NEC-UNSPEC,"Other specified pulmonary tuberculosis, unspecified"
183,01181,PULMONARY TB NEC-NO EXAM,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
184,01182,PULMON TB NEC-EXAM UNKN,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
185,01183,PULMON TB NEC-MICRO DX,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
186,01184,PULMON TB NEC-CULT DX,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
187,01185,PULMON TB NEC-HISTO DX,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
188,01186,PULMON TB NEC-OTH TEST,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
189,01190,PULMONARY TB NOS-UNSPEC,"Pulmonary tuberculosis, unspecified, unspecified"
190,01191,PULMONARY TB NOS-NO EXAM,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
191,01192,PULMON TB NOS-EXAM UNKN,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
192,01193,PULMON TB NOS-MICRO DX,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
193,01194,PULMON TB NOS-CULT DX,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
194,01195,PULMON TB NOS-HISTO DX,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
